大境界,阶段,境界索引,关卡,普通怪单次经验,普通怪层数,普通怪总经验,小Boss经验,大Boss经验,单关总经验,当前小境界升级所需经验,下一境界,完整通关次数建议,数值结论
炼气,初期,0,野狼谷外围,55,8,440,180,458,1078,1078,炼气中期,1.0,完整通关当前副本 1 次可升至下一小境界
炼气,中期,1,野狼谷中心,74,8,592,239,608,1439,1439,炼气后期,1.0,完整通关当前副本 1 次可升至下一小境界
炼气,后期,2,野狼谷深处,92,8,736,300,762,1798,1798,筑基初期,1.0,完整通关当前副本 1 次可升至下一小境界
筑基,初期,3,青云剑墟,92,8,736,300,762,1798,1798,筑基中期,1.0,完整通关当前副本 1 次可升至下一小境界
筑基,中期,4,剑阁回廊,110,8,880,361,912,2153,2153,筑基后期,1.0,完整通关当前副本 1 次可升至下一小境界
筑基,后期,5,万剑峰,129,8,1032,422,1062,2516,2516,结丹初期,1.0,完整通关当前副本 1 次可升至下一小境界
结丹,初期,6,火云洞口,129,8,1032,422,1062,2516,2516,结丹中期,1.0,完整通关当前副本 1 次可升至下一小境界
结丹,中期,7,熔火回廊,147,8,1176,483,1216,2875,2875,结丹后期,1.0,完整通关当前副本 1 次可升至下一小境界
结丹,后期,8,魔渊入口,166,8,1328,542,1366,3236,3236,元婴初期,1.0,完整通关当前副本 1 次可升至下一小境界
元婴,初期,9,冰魄渊口,166,8,1328,542,1366,3236,3236,元婴中期,1.0,完整通关当前副本 1 次可升至下一小境界
元婴,中期,10,玄冰长阶,184,8,1472,602,1520,3594,3594,元婴后期,1.0,完整通关当前副本 1 次可升至下一小境界
元婴,后期,11,霜魂禁地,202,8,1616,663,1674,3953,3953,化神初期,1.0,完整通关当前副本 1 次可升至下一小境界
化神,初期,12,雷泽外域,202,8,1616,663,1674,3953,3953,化神中期,1.0,完整通关当前副本 1 次可升至下一小境界
化神,中期,13,雷泽心渊,220,8,1760,722,1824,4306,4306,化神后期,1.0,完整通关当前副本 1 次可升至下一小境界
化神,后期,14,天雷祭坛,238,8,1904,783,1978,4665,4665,炼虚初期,1.0,完整通关当前副本 1 次可升至下一小境界
炼虚,初期,15,虚空裂隙,238,8,1904,783,1978,4665,4665,炼虚中期,1.0,完整通关当前副本 1 次可升至下一小境界
炼虚,中期,16,折光回廊,257,8,2056,842,2128,5026,5026,炼虚后期,1.0,完整通关当前副本 1 次可升至下一小境界
炼虚,后期,17,空冥之眼,275,8,2200,902,2282,5384,5384,合体初期,1.0,完整通关当前副本 1 次可升至下一小境界
合体,初期,18,万灵原野,275,8,2200,902,2282,5384,5384,合体中期,1.0,完整通关当前副本 1 次可升至下一小境界
合体,中期,19,合元秘径,293,8,2344,963,2435,5742,5742,合体后期,1.0,完整通关当前副本 1 次可升至下一小境界
合体,后期,20,归一殿,312,8,2496,1022,2586,6104,6104,大乘初期,1.0,完整通关当前副本 1 次可升至下一小境界
大乘,初期,21,天门外域,312,8,2496,1022,2586,6104,6104,大乘中期,1.0,完整通关当前副本 1 次可升至下一小境界
大乘,中期,22,星阙长桥,330,8,2640,1083,2739,6462,6462,大乘后期,1.0,完整通关当前副本 1 次可升至下一小境界
大乘,后期,23,天阙神庭,349,8,2792,1144,2890,6826,6826,渡劫初期,1.0,完整通关当前副本 1 次可升至下一小境界
渡劫,初期,24,劫云海口,349,8,2792,1144,2890,6826,6826,渡劫中期,1.0,完整通关当前副本 1 次可升至下一小境界
渡劫,中期,25,雷光断界,367,8,2936,1205,3040,7181,7181,渡劫后期,1.0,完整通关当前副本 1 次可升至下一小境界
渡劫,后期,26,天罚祭台,385,8,3080,1265,3194,7539,7539,真仙初期,1.0,完整通关当前副本 1 次可升至下一小境界
真仙,初期,27,仙庭云径,385,8,3080,1265,3194,7539,7539,真仙中期,1.0,完整通关当前副本 1 次可升至下一小境界
真仙,中期,28,紫微宫门,404,8,3232,1324,3344,7900,7900,真仙后期,1.0,完整通关当前副本 1 次可升至下一小境界
真仙,后期,29,太清仙阙,422,8,3376,1385,3498,8259,8259,金仙初期,1.0,完整通关当前副本 1 次可升至下一小境界
金仙,初期,30,金阙天街,422,8,3376,1385,3498,8259,8259,金仙中期,1.0,完整通关当前副本 1 次可升至下一小境界
金仙,中期,31,琉璃天廊,441,8,3528,1444,3648,8620,8620,金仙后期,1.0,完整通关当前副本 1 次可升至下一小境界
金仙,后期,32,金轮法界,459,8,3672,1505,3802,8979,8979,太乙初期,1.0,完整通关当前副本 1 次可升至下一小境界
太乙,初期,33,太乙玄原,459,8,3672,1505,3802,8979,8979,太乙中期,1.0,完整通关当前副本 1 次可升至下一小境界
太乙,中期,34,万象宫,477,8,3816,1566,3955,9337,9337,太乙后期,1.0,完整通关当前副本 1 次可升至下一小境界
太乙,后期,35,玄天法阵,496,8,3968,1624,4106,9698,9698,大罗初期,1.0,完整通关当前副本 1 次可升至下一小境界
大罗,初期,36,大罗界外,496,8,3968,1624,4106,9698,9698,大罗中期,1.0,完整通关当前副本 1 次可升至下一小境界
大罗,中期,37,寂灭长阶,514,8,4112,1685,4259,10056,10056,大罗后期,1.0,完整通关当前副本 1 次可升至下一小境界
大罗,后期,38,无尽道场,533,8,4264,1744,4410,10418,10418,道祖初期,1.0,完整通关当前副本 1 次可升至下一小境界
道祖,初期,39,道祖外庭,533,8,4264,1744,4410,10418,10418,道祖中期,1.0,完整通关当前副本 1 次可升至下一小境界
道祖,中期,40,混元大道,551,8,4408,1805,4563,10776,10776,道祖后期,1.0,完整通关当前副本 1 次可升至下一小境界
道祖,后期,41,万道之心,569,8,4552,1866,4714,11132,11132,已满级,1.0,满级阶段，单关经验作为周回成长储备参考
